,pval,log2fc,pre_mean,on_mean,qval
BCL6,0.0004840607983605089,-1.0295482,91.75476,187.30678,0.051363891780686795
BHLHE40,0.0006785141976814213,0.58926153,1989.2125,1322.1959,0.05735353687506429
BHLHE40-AS1,0.02476611705553027,0.4874815,876.66425,625.29755,0.2959332883212934
BTG2,0.004186929744736415,1.2306926,1253.5164,534.1394,0.1358151049387197
BTK,0.015596586930541029,-3.2569673,1.1584837,11.074773,0.25341270625118106
C1orf162,0.03564977874322241,0.77238816,273.31412,160.01108,0.3560145845221525
CAMSAP2,0.03848342459499597,1.6142651,73.10886,23.879639,0.3687534193365218
CAPG,0.004889744819022858,0.6286645,995.166,643.6484,0.1464652597577216
CAVIN1,0.038418566607698365,1.3685516,44.613663,17.277973,0.3687534193365218
CBLB,0.0004991446969382035,-0.4969752,1348.3896,1902.917,0.051363891780686795
CCDC50,0.015983248569962562,-0.2655615,1070.0728,1286.3385,0.25341270625118106
CCL4,0.023503662850392137,-0.45031413,2127.7944,2907.286,0.28674319215769917
CCNH,0.0003812049068925529,-0.5977181,646.57153,978.47034,0.051363891780686795
CD38,0.010512296577657624,-1.0410568,407.96106,839.4755,0.2160941846335144
CD83,0.0022168971922924613,1.3724097,442.57373,170.94214,0.09539863501279248
CDK6,0.04135510556744978,-0.24861132,979.651,1163.8871,0.38817781232230736
CEMIP2,0.0014677681926257762,-0.6971199,974.38684,1579.7393,0.07988761240095815
CH25H,0.0004053438604406678,-5.4387383,6.13418,266.06018,0.051363891780686795
CHSY3,0.04356745936873375,-2.3630352,0.806056,4.1467676,0.3935684174000291
CISH,0.010637075753949586,1.1027379,441.14426,205.41087,0.2160941846335144
CITED2,0.01656259229237182,-0.7024056,822.37964,1338.1891,0.25341270625118106
CLDN4,0.04743743039578713,2.0659366,70.475365,16.831718,0.40428410350488886
CLEC4A,0.011738395129597592,-3.1411867,2.2399645,19.762077,0.22673379339749047
CLMN,0.019692873799996513,1.4226861,23.437565,8.742614,0.27250081326204706
CNTLN,0.03351174431005314,-1.407976,23.993855,63.6712,0.349317864144002
COL18A1,0.04054289309768437,0.7568004,100.2962,59.356033,0.38536714546749884
CRABP2,0.03213926678595199,1.851336,104.23146,28.88625,0.3441559523882689
CRISPLD2,0.00235738047138713,-1.4776384,12.533171,34.90394,0.09619687961338402
CRTAM,0.016068379580542653,-2.2251225,24.783348,115.87469,0.25341270625118106
CRYBG1,0.00019184884019992761,-1.8478527,284.53882,1024.2374,0.039613353011984646
CRYBG2,0.01133705676783662,1.7256215,48.570065,14.686045,0.22175542229070297
CSF1,0.015237518935419154,1.0675496,824.7899,393.53098,0.25085592747528174
CSF2,0.0011618763065182525,2.0468314,438.63788,106.15697,0.07712045684155491
CTDSPL,0.04441307927882496,1.28954,26.588428,10.876832,0.3981679095830361
CTLA4,0.0009512986858753803,-0.48632732,2450.2153,3432.4434,0.07371788329731778
CTSL,0.033709246651499034,1.1263833,621.71094,284.78253,0.349317864144002
CXCL12,0.04757181648306003,1.1104352,38.46965,17.817383,0.40428410350488886
CXCR5,0.041834808750575735,1.1980373,150.02872,65.39269,0.38981932775905653
CYSLTR1,0.02672091213643111,0.5533891,563.04004,383.66534,0.3070035203825953
CYTOR,0.003923597187624895,-0.32138848,1429.7859,1786.564,0.13266173456785996
DCBLD1,0.02254046002843776,-1.080137,22.748356,48.095413,0.28567637454758527
DNAJB1,0.011878966083977437,-0.7970854,937.5315,1629.0427,0.22673379339749047
DNAJC3-DT,0.0337984653742348,-1.2024157,17.957561,41.32478,0.349317864144002
DTHD1,0.00013317664669297056,-1.4162385,147.36334,393.2962,0.031520084444348166
DYRK2,0.04765753456594196,0.7699983,167.7695,98.38308,0.40428410350488886
EGR1,0.006672216985366156,0.9364637,301.73804,157.66177,0.1774350657120364
EGR2,0.009189653554772114,0.70365995,210.31604,129.13669,0.20714246346845244
ENGASE,0.02303940564996594,-0.8121923,34.276657,60.185616,0.28674319215769917
ERN1,0.001102021151854467,-1.6190047,264.3534,811.996,0.07671323726455803
ERRFI1,0.042582264909859946,-0.72369266,28.88863,47.706787,0.3904065469095443
F2R,0.04496446175395077,-0.49828002,432.86478,611.43384,0.3985817729208024
FABP5,0.011053810022788614,-0.30317307,1471.4176,1815.5162,0.21984891760758304
FAM13A,0.0020469523938290686,-1.0165534,65.20472,131.91437,0.09316733987008692
FAM20A,0.03218447166404224,-3.7556307,0.95911264,12.954693,0.3441559523882689
FAM3C,0.01699581403455333,-0.46193933,654.33923,901.28174,0.25469053006955705
FANK1,0.014630823322429003,-0.88906085,26.04335,48.231506,0.25085592747528174
FASLG,0.012651747499218149,1.2815506,455.43646,187.34523,0.23445537952546508
FLT1,0.014990113306664055,-1.1007698,129.11954,276.9215,0.25085592747528174
FOS,0.020821319449660983,0.56484085,1636.8137,1106.5352,0.2788032290264537
GAB3,0.04887796809938607,0.51148474,97.50383,68.39895,0.4087765791830282
GABPB1-AS1,0.001530316003730594,-0.59212685,515.0247,776.383,0.07988761240095815
GADD45B,0.023358412431940614,0.70052195,496.26678,305.37753,0.28674319215769917
GADD45G,0.001420450257834503,1.5106094,445.89822,156.49374,0.07988761240095815
GALNT6,0.007665303728209137,1.0593407,107.25971,51.46871,0.1888245030674396
GEM,0.002641158090720651,0.88141066,672.2456,364.91937,0.10061949944083491
GFOD1,0.0024629492722991796,-1.0718787,128.1621,269.4184,0.09880132124089701
GLIPR1,0.019301928833029884,-0.37700123,860.0814,1116.9359,0.27250081326204706
GNG4,0.0015526657618255635,-0.4596605,647.76355,890.81616,0.07988761240095815
GNLY,0.03647514610076594,-1.06964,508.48395,1067.2618,0.35917688798353087
GNPTAB,0.04460210324281728,-0.43458524,354.5479,479.17938,0.398353614022574
GPR183,0.005297149907110438,-0.66373783,188.32475,298.34064,0.1528930372101601
GZMK,0.035337863857267164,-0.6857396,122.13483,196.45708,0.3559030647984942
HAGHL,0.007440324987276552,0.8192161,94.24037,53.410713,0.1888245030674396
